station,depth,chla_ugL,chlorophytes,mixed_flagellates,cryptophytes,haptophytes,diatoms
084_03,102.4,0.010423109,0.000553337,0.000400457,0.001761106,0.320390741,0.676894359
086_01,3.3,0.611703142,0.026606886,0.011780978,0.012220903,0.369759064,0.579632169
086_01,9.6,0.575759423,0.012201676,0.013481821,0.017749626,0.394097325,0.562469552
086_01,24.9,0.622923535,0.042925274,0.012970301,0.017795331,0.369633367,0.556675728
086_01,50.7,0.444629148,0.015906602,0.015004559,0.021695069,0.419851336,0.527542434
086_01,74.9,0.386584246,0.017934956,0.013658155,0.020555652,0.371189416,0.57666182
086_01,102.4,0.258761175,0.046230191,0,0.028116899,0.384468066,0.541184844
088_01,9.9,0.551565437,0,0.016927328,0.013161649,0.332538209,0.637372814
088_01,25,0.559145366,0,0.016483758,0.017958405,0.325240293,0.640317544
088_01,54,0.588587535,0,0.016756861,0.014282777,0.391882523,0.57707784
088_01,75.3,0.54513707,0.005707037,0.004043233,0.013159068,0.332456687,0.644633974
088_01,99.8,0.214115612,0.030310702,0,0.020319307,0.353159056,0.596210935
090_01,2.9,0.536225435,0.033782529,0.019846524,0.020377591,0.312054398,0.613938959
090_01,9.5,0.516567127,0.020555231,0.014986401,0.01774195,0.339012606,0.607703813
090_01,24.2,0.521477528,0.000751413,0.017169831,0.014246548,0.325341942,0.642490265
090_01,39.7,0.468322422,0.017632461,0.021002687,0.021838405,0.39487254,0.544653906
090_01,75,0.314517491,0.026124372,0,0.017494659,0.367909558,0.58847141
090_01,99.8,0.175719824,0.09257221,0,0.02483193,0.433933802,0.448662058
092_03,3.6,0.935922769,0.000659222,0.018403073,0.017314341,0.39304903,0.570574333
092_03,10.2,0.790806222,0.060452813,0.018485703,0.008053078,0.386315067,0.52669334
092_03,24.4,0.786798233,0.000574578,0.017419159,0.017561059,0.379087794,0.58535741
092_03,51.1,0.623075773,0.064405737,0.008108263,0.010673085,0.40424173,0.512571185
092_03,100.2,0.1389794,0.123708759,0,0,0.459446557,0.416844684
094_01,1.7,1.254153033,0.015232385,0.010426251,0.021852147,0.618881617,0.3336076
094_01,9.4,1.23896453,0.017520521,0,0.013287227,0.642813444,0.32637881
094_01,25.2,1.167545098,0,0.011849178,0,0.636774286,0.351376536
094_01,50.2,0.849689879,0.000272866,0.000285998,0.001269181,0.591474806,0.406697149
094_01,76,0.163244158,0.000923784,0.000951332,0.003949471,0.540653546,0.453521866
094_01,99.6,0.048349693,1.89E-05,1.33E-05,5.48E-05,0.733234129,0.266678814
096_01,1.3,0.437799942,0.085355593,0.004651122,0.028932061,0.469119181,0.411942043
096_01,9.9,0.405851536,0.072893274,0.006167617,0.029438888,0.4590952,0.432405021
096_01,25.2,0.352817104,0.080130277,7.00E-05,0.032084144,0.447511186,0.440204407
096_01,48.8,0.205766183,0.065835091,0,0,0.512621113,0.421543797
096_01,99.2,0.017056943,0,0,0,0.474951751,0.525048249
098_01,9.5,0.385383368,0.150134276,0.014458015,0.072864076,0.401700386,0.360843246
