experiment,lat,lon,treatment,day,bottle,filter_size,chlorophyll_a,fucoxanthin,hex_19,Fv_Fm,abund_nanophyto
chlora,-75.00,177.36,T0,0,T0,0.2,1.371,nd,nd,nd,nd
chlora,-75.00,177.36,T0,0,T0,0.2,1.314,nd,nd,nd,nd
chlora,-75.00,177.36,T0,0,T0,0.2,1.295,nd,nd,nd,nd
chlora,-75.00,177.36,T0,0,T0,20,0.775,nd,nd,nd,nd
chlora,-75.00,177.36,T0,0,T0,20,0.805,nd,nd,nd,nd
chlora,-75.00,177.36,T0,0,T0,20,0.78,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,1,10,0.2,1.413,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,1,11,0.2,1.406,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,1,12,0.2,1.358,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,2,10,0.2,2.151,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,2,11,0.2,2.151,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,2,12,0.2,1.994,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,3,10,0.2,3.593,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,3,11,0.2,4.102,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,3,12,0.2,3.657,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,4,10,0.2,6.784,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,4,11,0.2,6.139,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,4,12,0.2,6.282,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,4,10,20,4.41,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,4,11,20,4.504,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,4,12,20,4.332,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,5,10,0.2,9.553,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,5,11,0.2,10.392,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,5,12,0.2,10.07,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,6,10,0.2,14.257,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,6,11,0.2,12.909,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,6,12,0.2,12.457,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,7,10,0.2,19.377,nd,nd,nd,nd
chlora,-75.00,177.36,HTHF,7,11,0.2,18.51,nd,nd,nd,nd
